Logging buffer configuration and contents : enabled
Allowed max buffer size : 10240
Actual buffer size : 512
Channel number : 4 , Channel name : logbuffer
Dropped messages : 0
Overwritten messages : 0
Current messages : 71

Jun  2 2026 12:23:34 BoardLeaf2 %%01RM/4/RM_ADD_DEFAULTRT(l):CID=0x80717539;The default route is added. (AddrFamily=IPv4, InstanceID=vpn6, ProcessID=0, ProtocolID=STATIC, SubProtocolID=Static, ExitIf=Vbdif8060, Nexthop=10.70.1.2, Neighbour=, Preference=60, Metric=0, IndirectID=16777389)
Jun  2 2026 12:23:34 BoardLeaf2 %%01RM/4/RM_ADD_DEFAULTRT(l):CID=0x80717539;The default route is added. (AddrFamily=IPv4, InstanceID=vpn5, ProcessID=0, ProtocolID=STATIC, SubProtocolID=Static, ExitIf=Vbdif8050, Nexthop=10.60.1.2, Neighbour=, Preference=60, Metric=0, IndirectID=16777388)
Jun  2 2026 12:23:34 BoardLeaf2 %%01RM/4/RM_ADD_DEFAULTRT(l):CID=0x80717539;The default route is added. (AddrFamily=IPv4, InstanceID=vpn4, ProcessID=0, ProtocolID=STATIC, SubProtocolID=Static, ExitIf=Vbdif8040, Nexthop=10.1.6.50, Neighbour=, Preference=60, Metric=0, IndirectID=16777387)
Jun  2 2026 12:23:34 BoardLeaf2 %%01RM/4/RM_ADD_DEFAULTRT(l):CID=0x80717539;The default route is added. (AddrFamily=IPv4, InstanceID=vpn3, ProcessID=0, ProtocolID=STATIC, SubProtocolID=Static, ExitIf=Vbdif8030, Nexthop=10.1.6.34, Neighbour=, Preference=60, Metric=0, IndirectID=16777386)
Jun  2 2026 12:23:34 BoardLeaf2 %%01RM/4/RM_ADD_DEFAULTRT(l):CID=0x80717539;The default route is added. (AddrFamily=IPv4, InstanceID=vpn2, ProcessID=0, ProtocolID=STATIC, SubProtocolID=Static, ExitIf=Vbdif8020, Nexthop=10.1.6.18, Neighbour=, Preference=60, Metric=0, IndirectID=16777385)
Jun  2 2026 12:23:34 BoardLeaf2 %%01RM/4/RM_ADD_DEFAULTRT(l):CID=0x80717539;The default route is added. (AddrFamily=IPv4, InstanceID=vpn1, ProcessID=0, ProtocolID=STATIC, SubProtocolID=Static, ExitIf=Vbdif8010, Nexthop=10.1.6.2, Neighbour=, Preference=60, Metric=0, IndirectID=16777384)
Jun  2 2026 12:23:34 BoardLeaf2 %%01L3VPN/2/L3V_TRAP_VRF_DOWN_clear(l):CID=0x806f7535-alarmID=0x09110000-clearType=service_resume;The interface bound to the VPN instance went Up. (VpnInstanceName=vpn6, IfName=Vbdif8060, IfCurRowStatus=1, VRFOperationStatus=1)
Jun  2 2026 12:23:34 BoardLeaf2 %%01L3VPN/2/L3V_TRAP_VRF_DOWN_clear(l):CID=0x806f7535-alarmID=0x09110000-clearType=service_resume;The interface bound to the VPN instance went Up. (VpnInstanceName=vpn5, IfName=Vbdif8050, IfCurRowStatus=1, VRFOperationStatus=1)
Jun  2 2026 12:23:34 BoardLeaf2 %%01L3VPN/2/L3V_TRAP_VRF_DOWN_clear(l):CID=0x806f7535-alarmID=0x09110000-clearType=service_resume;The interface bound to the VPN instance went Up. (VpnInstanceName=vpn4, IfName=Vbdif8040, IfCurRowStatus=1, VRFOperationStatus=1)
Jun  2 2026 12:23:34 BoardLeaf2 %%01L3VPN/2/L3V_TRAP_VRF_DOWN_clear(l):CID=0x806f7535-alarmID=0x09110000-clearType=service_resume;The interface bound to the VPN instance went Up. (VpnInstanceName=vpn3, IfName=Vbdif8030, IfCurRowStatus=1, VRFOperationStatus=1)
Jun  2 2026 12:23:34 BoardLeaf2 %%01L3VPN/2/L3V_TRAP_VRF_DOWN_clear(l):CID=0x806f7535-alarmID=0x09110000-clearType=service_resume;The interface bound to the VPN instance went Up. (VpnInstanceName=vpn2, IfName=Vbdif8020, IfCurRowStatus=1, VRFOperationStatus=1)
