Processor Pool Total: 1140161264 Used:  255172304 Free:  884988960
reserve P Pool Total:     102404 Used:         88 Free:     102316
 lsmpi_io Pool Total:    3149400 Used:    3148568 Free:        832

 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
 355   0        448        448      29944          0          0 PPP Compress Inp
 356   0        448        448      29944          0          0 PPP Compress Res
 357   0        720        312      54352          1          1 ADJ resolve proc
 358   0      10400          0     256344          0          0 COPS
 359   0        448        448      29944          0          0 Dialer Forwarder
 360   0        704          0      30648          0          0 Service Routing
 361   0      20488       5544      44888          0          0 SR CapMan Proces
 362   0      67920          0      97864          0          0 DHCP SIP
 363   0        448        448      53944          0          0 IP SIP Process
 364   0        448        448      53944          0          0 IP Inband Sessio
 365   0        896          0      30344          0          0 DNS Service
 366   0       1984        448      43480          0          0 MVPN Mgr Process
 367   0        896        448      42392          0          0 Multicast Offloa
 368   0          0          0      29944          0          0 RARP Input
 369   0        448        448      41944          0          0 static
 370   0          0          0      41944          0          0 IPv6 Static Hand
 371   0        448        448      29944          0          0 DHCPv6 LQ client
 372   0          0          0      29944          0          0 LAPB Process
 373   0          0          0      29944          0          0 PAD InCall
 374   0        448        448      53944          0          0 X.25 Background
 375   0    6544344    6544344      41944          0          0 QoS stats proces
 376   0      38912        448      68408          0          0 SCTP Main Proces
 377   0          0          0      53944          0          0 VPDN call manage
 378   0        448        448     101944          0          0 TLSCLIENT_PROCES
 379   0          0          0      53944          0          0 SSL background p
 380   0          0          0      29944          0          0 Select Timers
 381   0      55936        448      85432          0          0 HTTP Process
 382   0      96752      11592     187104          2          2 AN
 383   0          0          0     101944          0          0 AN HELPER
 384   0          0          0     101944          0          0 AN CONFIG DOWNLO
 385   0        448        448      29944          0          0 Inspect process
 386   0          0          0     103192          0          0 SEP_webui_wsma_h
 387   0       2272        448      31768          0          0 URL filter proc
 388   0        408          0      54352          0          0 FRR Manager
 389   0          0          0      29944          0          0 MFI Comm RP Proc
 390   0          0          0      53944          0          0 Path set broker
 391   0          0          0      53944          0          0 LFD Label Block
 392   0       6392          0      36336          0          0 LDP HA
 393   0        448        448      29944          0          0 MPLS VPN HA Clie
 394   0        448        448      29944          0          0 TSPTUN HA
 395   0          0          0      53944          0          0 RSVP HA Services
 396   0       9024        448      38520          0          0 TE NSR OOS DB Pr
 397   0        896        448      30392          0          0 MPLS TP HA
 398   0          0          0      29944          0          0 AToM HA Bulk Syn
 399   0          0          0      29944          0          0 AToM MGR HA IPC
 400   0       4936        600      34280          0          0 LFDp Input Proc
 401   0       3008          0      32952          0          0 AC Mgr
 402   0       3456        608      33400          0          0 EVPN VPWS Thread
 403   0          0          0      29944          0          0 IP VFR proc
 404   0        448        448      29944          0          0 PPP NBF
 405   0        880        448      18376          0          0 PfR BR Learn
 406   0          0          0      29944          0          0 XC RIB MGR
 407   0        448        448      29944          0          0 ATIP_UDP_TSK
 408   0          0          0      29944          0          0 BD Route Msg Hol
 409   0          0          0      29944          0          0 BD Route Rx Proc
 410   0        448        448      29944          0          0 BD MACSEC HA
 411   0        448        448      29944          0          0 BD MACSEC HA CHK
 412   0          0          0      29944          0          0 BD MACSEC Bulk S
 413   0          0          0      29944          0          0 STP HA IPC flow
 414   0          0          0      29944          0          0 AAA HA
 415   0      98736          0     128680          0          0 AAA HA cleanup
 416   0          0          0      29944          0          0 ac_atm_state_eve
 417   0          0          0      29944          0          0 ac_atm_mraps_hsp
 418   0          0          0      29944          0          0 AC HA Bulk Sync
 419   0          0          0      29944          0          0 ATM HA AC
 420   0        448        448      29944          0          0 PPPoE VRRS EVT M
 421   0          0          0      29944          0          0 VFI HA Bulk Sync
 422   0          0          0      29944          0          0 VPDN CCM Backgro
 423   0       3656          0      33600          0          0 EVPN main thread
 424   0       3152          0      33096          0          0 NVE MGR RWATCH T
 425   0        448        448      41944          0          0 vxlan sr main
 426   0          0          0      41944          0          0 DynCmd Package P
 427   0          0          0      29944          0          0 Consent token pr
 428   0      49224       6088      73032          0          0 Diameter Base pr
 429   0          0          0      17944          0          0 EEM MLANG MANAGE
 430   0        448        448      29944          0          0 CCVPM_HDSPRM
 431   0        448        448      29944          0          0 AAA Cached Serve
 432   0        448        448      29944          0          0 ENABLE AAA
 433   0          0          0      29944          0          0 EM Background Pr
 434   0          0          0      29944          0          0 IDMGR CORE
 435   0       2344        448      55840          0          0 LDAP process
 436   0          0          0      53944          0          0 Opaque Database
 437   0          0          0      29944          0          0 Key chain liveke
 438   0        448        448      29944          0          0 LINE AAA
 439   0        448        448      53944          0          0 LOCAL AAA
 440   0  141807944  154892608      30080          0          0 DiagCard1/-1
 441   0       2424        448      55920          0          0 TPLUS
 442   0      68312        448     105808          0          0 Crypto WUI
 443   0       6912       1016      43840          0          0 EST Client
 444   0      99184        448     128680          0          0 Timer Library
 445   0          0          0      29944          0          0 EAP Process
 446   0        448        448      29944          0          0 Crypto Support
 447   0          0          0      29944          0          0 IPSECv6 PS Proc
 448   0          0          0      53944          0          0 MPLS Auto Mesh P
 449   0     118904          0     148848          0          0 MMA DB TIMER
 450   0        448        448      29944          0          0 VSP_MGR
 451   0      43640        448     145136          0          0 STUN_APP
 452   0       1824          0     103768          0          0 STUN_TEST
 453   0     272960        448     302456          0          0 FLEX DSPRM MAIN
 454   0       3400       1384      43960          0          0 Manet Infra Back
 455   0    3549312    3547688      31568        121        121 NIST rng proc
 456   0          0          0      29944          0          0 iosp_global_eem_
 457   0        448        448      29944          0          0 File Copy Handle
 458   0          0          0      29944          0          0 COND_DEBUG HA IP
 459   0      11368        824      65144          0          0 AAA Proxy
 460   0       1896       1536     103600          0          0 TPS IPC Process
 461   0        448        448      17944          0          0 RSCMSM VOLUME MO
 462   0      18472          0      72416          0          0 CCVPM_HTSP
 463   0        448        448      29944          0          0 VPM_MWI_BACKGROU
 464   0        416          0      30360          0          0 VPM_CABLE_STAT_P
 465   0       1056          0      31000          0          0 VPM_CONN_CHK_BAC
 466   0          0          0      30064          0          0 IP TRUST Registe
 467   0        896        448      30392          0          0 PIM HA
 468   0          0          0      41944          0          0 QOS PERUSER
 469   0          0          0      29944          0          0 crypto engine pr
 470   0          0          0      53944          0          0 RSA background p
 471   0    1130496     947784     182856          4          4 Crypto CA
 472   0        448        448      53944          0          0 Crypto PKI-CRL
 473   0       8576          0      62520          0          0 Crypto PKI-Rev-P
 474   0       1824          0      55768          0          0 PKI OCSP
 475   0          0          0      53944          0          0 PKI Revocation
 476   0          0          0      53944          0          0 encrypt proc
